file,variable,definition_or_role,unit_or_scale
analysis_data.csv,dmu,Two-letter study identifier,text
analysis_data.csv,exp,Public and mandatory health expenditure per capita,constant PPP-adjusted USD per capita
analysis_data.csv,hospbeds,Hospital-bed density,per 1000 population
analysis_data.csv,GPs,General-practitioner density,per 1000 population
analysis_data.csv,epa,Digital-health infrastructure index in original direction,index 0 to 100
analysis_data.csv,epa_inv,Linearly inverted digital-health index,max(epa)-epa+1
analysis_data.csv,diab,Avoidable diabetes-related hospital admissions,per 100000 population
analysis_data.csv,beddays_imp,Inpatient bed-days,days per capita
analysis_data.csv,consult_imp,Physician consultations,visits per capita
analysis_data.csv,treatmort,Treatable mortality in original direction,per 100000 population
analysis_data.csv,treatmort_inv,Linearly inverted treatable mortality,max(treatmort)-treatmort+1
analysis_data.csv,SAH,Very good or excellent self-assessed health in lowest income quintile,percent
context_data.csv,country,Country name,text
context_data.csv,dmu,Two-letter study identifier,text
context_data.csv,elderly_pop,Population aged 65 years or older,percent
context_data.csv,gini,Gini coefficient,0 to 1
context_data.csv,rural_pop,Population living in rural areas,percent
context_data.csv,gdp_cap,GDP per capita PPP adjusted,USD PPP
context_data.csv,prev_index,Composite prevention-policy index,0 to 100
context_data.csv,hcs_type,Health-system type according to the manuscript,nominal codes 1 to 5

