"DMU","RTS","Primary_Solver_Status","Selected_Solver_Status","Primary_Overall_Optimum","Objective_Residual","Stage1_Link_Residual","Stage2_Link_Residual","Link_Continuity_Residual","One_Sided_Link_Violation","RTS_Residual","Max_Constraint_Violation","Score_Range_OK","Theta1_Above_One","Theta2_Above_One","Self_Weight_Stage1","Self_Weight_Stage2","Active_Peers_Stage1","Active_Peers_Stage2","Theta1_Min_Overall_Optimum","Theta1_Max_Overall_Optimum","Theta1_Range","Theta2_Min_Overall_Optimum","Theta2_Max_Overall_Optimum","Theta2_Range","Link_Min_Overall_Optimum","Link_Max_Overall_Optimum","Link_Range","Stage_Scores_Unique","Link_Unique"
"AT","VRS",0,0,0.473302334080746,0,3.90798504668055e-12,5.6843418860808e-13,3.33955085807247e-12,0,3.41948691584548e-14,3.90798504668055e-12,TRUE,FALSE,FALSE,0,0,3,4,0.53352322016951,0.533523245320075,2.51505655191053e-08,0.413081442841417,0.413081467991983,2.51505655746165e-08,75.5785610439592,75.5785767261978,1.56822385548594e-05,TRUE,FALSE
"BE","VRS",0,0,0.872832705741838,0,2.8421709430404e-14,2.8421709430404e-14,5.6843418860808e-14,0,1.11022302462516e-15,4.54747350886464e-13,TRUE,FALSE,FALSE,1,0,1,5,1,1.0000000221849,2.21849038029021e-08,0.745665409298772,0.745665431483675,2.21849033588128e-08,146.299999326688,146.3,6.73311802756871e-07,TRUE,FALSE
"CH","VRS",0,0,0.783936473036726,0,0,8.5265128291212e-14,8.5265128291212e-14,1.4210854715202e-14,1.33226762955019e-15,6.39829522697255e-10,TRUE,FALSE,FALSE,0,1,4,1,0.567872946073453,0.567872966073452,1.99999987682276e-08,1,1.00000002,1.99999998784506e-08,79.0000000000002,79,-1.4210854715202e-13,TRUE,TRUE
"CZ","VRS",0,0,0.64729077808717,0,6.60804744256893e-13,3.5527136788005e-14,6.25277607468888e-13,0,1.17683640610267e-14,6.60804744256893e-13,TRUE,FALSE,FALSE,0,0,2,2,0.759663240881597,0.759663299799898,5.89183012378314e-08,0.534918276374443,0.534918335292743,5.89182999055637e-08,58.7010034708737,58.70104950301,4.60321362396598e-05,TRUE,FALSE
"DE","VRS",0,0,0.496980257835593,0,1.4210854715202e-14,0,1.4210854715202e-14,0,1.11022302462516e-16,1.4210854715202e-14,TRUE,FALSE,FALSE,0,0,2,3,0.649243466299863,0.649243490904161,2.46042985985184e-08,0.344717044767025,0.344717069371324,2.4604298820563e-08,73.0473150295391,73.047326684891,1.16553518978435e-05,TRUE,FALSE
"DK","VRS",0,0,0.903857038558542,0,1.4210854715202e-14,4.2632564145606e-14,2.8421709430404e-14,1.4210854715202e-14,0,4.2632564145606e-14,TRUE,FALSE,FALSE,1,0,1,4,1,1.00000002230921,2.23092060380736e-08,0.807714074807879,0.807714097117085,2.23092060380736e-08,94.1999994821231,94.2,5.17876912908832e-07,TRUE,FALSE
"EE","VRS",0,0,0.880545784636332,0,1.84741111297626e-13,1.27897692436818e-13,3.12638803734444e-13,0,1.99840144432528e-15,3.41060513164848e-12,TRUE,FALSE,FALSE,1,0,1,3,1,1.00000002082604,2.0826037117061e-08,0.761091568446628,0.761091589272665,2.08260376721725e-08,85.5999997738295,85.6,2.26170470796205e-07,TRUE,FALSE
"ES","VRS",0,0,0.796807618332174,0,0,1.4210854715202e-14,1.4210854715202e-14,0,1.11022302462516e-16,1.4210854715202e-14,TRUE,FALSE,FALSE,0,0,4,2,0.898634518596219,0.898634561683653,4.30874346202259e-08,0.694980694980695,0.69498073806813,4.30874349532928e-08,59.6270199788382,59.6270580988336,3.81199954446743e-05,TRUE,FALSE
"FI","VRS",0,0,0.79466641070134,0,1.4210854715202e-14,2.1316282072803e-14,3.5527136788005e-14,0,2.22044604925031e-16,9.38143784878775e-10,TRUE,FALSE,FALSE,0,0,4,2,0.900927017301087,0.900927044301231,2.70001445645818e-08,0.688405797101449,0.688405824101596,2.70001464519609e-08,62.8101435980224,62.8101557631102,1.21650878242008e-05,TRUE,FALSE
"FR","VRS",0,0,0.678616097650861,0,2.62190269495477e-12,4.59010607301025e-12,7.21200876796502e-12,0,1.5709655798446e-13,3.18095771945082e-10,TRUE,FALSE,FALSE,0,0.0189386789310302,4,4,0.529255020106718,0.529255069888955,4.97822375544743e-08,0.827977145412766,0.827977195195004,4.97822378875412e-08,63.8417018260327,63.8417283802564,2.6554223730102e-05,TRUE,FALSE
