"DMU","RTS","Eff_Stage1","Eff_Stage2","Eff_Overall","Observed_Link","Projected_Link","Link_Reduction","Link_Reduction_Percent","Tie_Break","Rank_Stage1","Rank_Stage2","Rank_Overall"
"AT","VRS",0.533523220169505,0.413081447991988,0.473302334080746,109.7,75.5785643013867,34.1214356986133,31.1043169540686,"none",29,29,30
"BE","VRS",1,0.745665411483675,0.872832705741838,146.3,146.3,2.8421709430404e-14,1.94270057624088e-14,"none",1,17,11
"CH","VRS",0.567872946073452,1,0.783936473036726,79,79,-1.4210854715202e-14,-1.79884236901291e-14,"none",28,1,19
"CZ","VRS",0.759663279799898,0.534918276374443,0.64729077808717,99.5,58.7010401188707,40.7989598811293,41.0039797800295,"none",23,27,27
"DE","VRS",0.649243466299862,0.344717049371324,0.496980257835593,179.5,73.0473177441541,106.452682255846,59.3051154628668,"none",24,30,29
"DK","VRS",1,0.807714077117085,0.903857038558542,94.2,94.2,-1.4210854715202e-14,-1.5085833031e-14,"none",1,14,9
"EE","VRS",0.999999999999999,0.761091569272666,0.880545784636332,85.6,85.6,1.4210854715202e-14,1.66014657887874e-14,"none",1,15,10
"ES","VRS",0.898634541683653,0.694980694980695,0.796807618332174,59.8,59.627027027027,0.172972972972978,0.289252463165516,"none",16,19,16
"FI","VRS",0.900927024301232,0.688405797101449,0.79466641070134,90.9,62.8101449275362,28.0898550724638,30.9019307727874,"none",14,20,17
"FR","VRS",0.529255025859859,0.827977169441863,0.678616097650861,155.6,63.8417146433415,91.7582853566585,58.9706204091636,"none",30,13,26
"GB","VRS",0.8849189580647,1,0.94245947903235,82.1,82.1,1.4210854715202e-14,1.73092018455566e-14,"none",18,1,7
"HR","VRS",0.859287099591783,0.608108108108108,0.733697603849946,97.6,59.627027027027,37.972972972973,38.9067346034559,"none",19,25,22
"HU","VRS",0.984469957478583,0.576923076923077,0.78069651720083,108.3,55.0615384615384,53.2384615384616,49.1583209034733,"none",9,26,20
"IE","VRS",0.779259203044401,0.614919060079955,0.697089131562178,91,65.2904282911921,25.7095717088079,28.2522766030856,"none",22,23,25
"IL","VRS",1,1,1,89.4,89.4,2.8421709430404e-14,3.17916212868054e-14,"none",1,1,1
"IS","VRS",1,1,1,28.2,28.2,1.77635683940025e-14,6.29913772836968e-14,"none",1,1,1
"IT","VRS",1,1.00000000000003,1.00000000000001,31.3,31.3,0,0,"none",1,1,1
"LT","VRS",0.9008428516648,0.741060165802235,0.820951508733517,172.9,115.763424587776,57.1365754122238,33.0460239515465,"none",15,18,14
"LU","VRS",0.611179047389303,0.846026912701006,0.728602980045155,152.8,74.7710522414651,78.028947758535,51.0660652869993,"none",26,12,24
"LV","VRS",0.9438203962054,0.745920745920746,0.844870571063073,115.8,100.631468531469,15.1685314685315,13.0989045496818,"none",13,16,13
"MT","VRS",0.633181510331509,0.999999999999999,0.816590755165754,141.2,141.2,1.98951966012828e-13,1.40900825788122e-13,"none",25,1,15
"NL","VRS",0.9491630984819,1,0.97458154924095,43.8,43.8,-7.105427357601e-15,-1.62224368895e-14,"none",12,1,6
"NO","VRS",0.835466725850023,1,0.917733362925012,62.1,62.1,-2.8421709430404e-14,-4.57676480360773e-14,"none",21,1,8
"PL","VRS",0.951924989467903,0.508744038155803,0.730334513811853,125.1,77.3146263910971,47.7853736089029,38.1977406945667,"none",11,28,23
"PT","VRS",0.850568030449656,0.868564462928444,0.85956624668905,54.7,54.6999999999998,1.70530256582424e-13,3.11755496494377e-13,"none",20,11,12
"RO","VRS",0.894075998501197,0.632316500042724,0.763196249271961,192.3,72.7487823634965,119.551217636504,62.1691199357793,"none",17,21,21
"SE","VRS",1,1.00000000000002,1.00000000000001,64.9,64.9,0,0,"none",1,1,1
"SI","VRS",0.965030022149029,0.612244897959184,0.788637460054107,82.5,60.2326530612245,22.2673469387755,26.9907235621521,"none",10,24,18
"SK","VRS",0.607456406365846,0.62015503875969,0.613805722562768,177.2,163.262790697674,13.9372093023256,7.86524226993543,"none",27,22,28
"TR","VRS",0.999999999999999,1,0.999999999999999,236.1,236.1,-2.55795384873636e-13,-1.08341967333179e-13,"none",1,1,1
